label,T,delta,sum_cum_pnl,mean_cum_pnl,std_cum_pnl,n_pos_folds,sum_n_active,fold0_pnl,fold1_pnl,fold2_pnl,fold3_pnl,fold4_pnl
LGB_5seed,0.35,0.0,-0.5182611252803832,-0.10365222505607663,5.0637708865012865,3,259201,2.038656104077849,-3.690670817107689,-6.90251371809034,0.10981333922623207,7.926453966613565
ENS_alpha=0.05,0.45,0.0,10.710572129999788,2.1421144259999574,2.8639034677446724,4,95759,1.0988712494823223,1.8068901064673781,-0.026630424055894997,0.12005387539193821,7.711387322714045
ENS_alpha=0.05,0.45,0.05,10.7090381520541,2.14180763041082,2.8641835827588924,4,95749,1.0988712494823223,1.807428069664044,-0.026630424055894997,0.11798193424958493,7.711387322714045
ENS_alpha=0.05,0.45,0.1,10.695570801994169,2.139114160398834,2.8659019552178866,4,95590,1.075417191013159,1.821314855285214,-0.01998320221288552,0.10777190016311577,7.711050057745565
ENS_alpha=0.05,0.45,0.15,10.47327526995814,2.094655053991628,2.813228111650217,5,93976,0.9792986108767398,1.8293079413599687,0.007629101471726685,0.09431429304049668,7.562725323209208
ENS_alpha=0.05,0.5,0.0,10.017638683851327,2.0035277367702653,1.7388336725723859,5,38782,0.2709853454643062,3.3579585623477777,1.8066690341859002,0.046299308809441615,4.535726433043902
ENS_alpha=0.05,0.5,0.1,10.017638683851327,2.0035277367702653,1.7388336725723859,5,38782,0.2709853454643062,3.3579585623477777,1.8066690341859002,0.046299308809441615,4.535726433043902
ENS_alpha=0.05,0.5,0.05,10.017638683851327,2.0035277367702653,1.7388336725723859,5,38782,0.2709853454643062,3.3579585623477777,1.8066690341859002,0.046299308809441615,4.535726433043902
ENS_alpha=0.05,0.5,0.15,10.01431472364465,2.00286294472893,1.738300030606976,5,38775,0.2709853454643062,3.3545433760820864,1.8067602602449133,0.046299308809441615,4.535726433043902
ENS_alpha=0.05,0.5,0.2,9.951510052254697,1.9903020104509395,1.7268638379819332,5,38584,0.267036011355801,3.312122960787584,1.8092319028809494,0.04649930880944162,4.5166198684209204
ENS_alpha=0.05,0.45,0.2,9.939282942273879,1.9878565884547759,2.48540614906785,5,86866,0.7413731815289909,1.9237474622631887,0.40791296017059203,0.06752173308464665,6.7987276052264605
ENS_alpha=0.05,0.5,0.25,9.72947125487194,1.9458942509743882,1.6875191775481693,5,37066,0.22525315033368706,3.2709427293286524,1.8157272731239762,0.04462403486203493,4.37292406722359
ENS_alpha=0.05,0.45,0.25,9.484410493492666,1.896882098698533,1.9353207287671526,5,70904,0.6247161139342255,2.3064818335275694,1.0390847667745926,0.043624034862034936,5.470503744394243
ENS_alpha=0.05,0.35,0.25,8.488914206566166,1.6977828413132332,1.9292989698689427,5,82197,0.7692957988797502,1.5817185376071785,0.6641089769202005,0.043624034862034936,5.430166858297001
