horizon,bucket,sym,n,n_active,active_rate,sum_pnl,per_trade_pnl,hit_rate_active
40,pm_open_13:10-13:30,1,14424,10619,0.7362035496394898,-0.407334214712986,-3.8358999407946694e-05,0.2580280629061117
40,pm_open_13:10-13:30,2,14424,12146,0.8420687742651137,-0.7200960355200986,-5.928668166640034e-05,0.11567594269718426
40,pm_open_13:10-13:30,3,14424,112,0.00776483638380477,0.079642748965472,0.0007110959729059999,0.38392857142857145
40,pm_open_13:10-13:30,4,14424,10324,0.7157515252357183,2.4533655521020368,0.00023763711275688075,0.29300658659434325
40,pm_open_13:10-13:30,-1,72120,33645,0.4665141430948419,1.5428776630396397,4.5857561689393366e-05,0.21816020211026899
60,mid_morn_10:00-11:20,0,36984,15128,0.409041747782825,1.2100271019722713,7.998592688870117e-05,0.18574828133262825
60,mid_morn_10:00-11:20,1,36984,34907,0.9438405797101449,1.5621155042163228,4.4750780766503076e-05,0.3532815767611081
60,mid_morn_10:00-11:20,2,36984,36276,0.9808565866320571,-2.440026806700442,-6.72628406301809e-05,0.2619086999669203
60,mid_morn_10:00-11:20,3,36984,16231,0.43886545533203547,-1.3649764982002963,-8.409688239789885e-05,0.11724477851025815
60,mid_morn_10:00-11:20,4,36984,34634,0.9364590093013195,4.490395807112497,0.00012965282113277407,0.3563839002136629
60,mid_morn_10:00-11:20,-1,184920,137176,0.7418126757516764,3.45753510840035,2.520510226570501e-05,0.2834971131976439
60,open_09:40-10:00,0,7224,6854,0.948781838316722,-0.3278826061768732,-4.78381392146007e-05,0.18558505981908374
60,open_09:40-10:00,1,7224,7224,1.0,0.7042910616974077,9.749322559487925e-05,0.42926356589147285
60,open_09:40-10:00,2,7224,7224,1.0,-0.45250450187176844,-6.263905064670106e-05,0.35811184939091917
60,open_09:40-10:00,3,7224,4550,0.6298449612403101,1.0044878345020118,0.0002207665570334092,0.25758241758241757
60,open_09:40-10:00,4,7224,7220,0.9994462901439646,1.5275427407118043,0.00021157101671908645,0.4443213296398892
60,open_09:40-10:00,-1,36120,33072,0.9156146179401994,2.455934528862582,7.4260236117035e-05,0.34288824383164007
60,pm_late_13:30-14:50,0,29784,416,0.013967230727907601,0.018023791288100187,4.332642136562545e-05,0.3317307692307692
60,pm_late_13:30-14:50,1,29784,18544,0.6226161697555734,-1.5850989484607978,-8.547772586609134e-05,0.26941328731665226
